coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,SourceFile,price_ma7,price_ma30,volatility_7d,volume_change_pct,price_change_pct,liquidity_ratio,liquidity_ratio_7d
ApeCoin,APE,0.0001873001292544,0.9436795994993744,0.3197056418642681,0.1079171506000774,0.0194974317065518,0.0009396141898572,2022-03-17,coin_gecko_2022-03-17.csv,6.665483950572513e-05,0.00033194873518210485,7.405228740014993e-05,23.39093762490309,32.85118653998073,20.750465368679635,4.071497644888356
Secret,SCRT,0.0001147577216665,0.886107634543179,0.5511038430089941,0.1076267905536197,0.0001369110077448,0.0009267357029853,2022-03-17,coin_gecko_2022-03-17.csv,6.114397337745369e-05,0.0003190738730996149,6.768863500429466e-05,-0.9929779978304121,-0.3873056995565093,0.14773468563234118,4.078046330176866
LINK,LN,0.0031858005151365,0.8823529411764707,0.5421095666394112,0.1122725512969415,3.498779808281143e-05,0.0009266620610508,2022-03-17,coin_gecko_2022-03-17.csv,0.000513778637023487,0.0004178997616976115,0.0011800356504353094,-0.7444486118455271,26.761099374165227,0.037756804290807564,3.8692746427833087
cUSDT,CUSDT,5.281379143985223e-07,0.8811013767209012,0.5282093213409648,0.1080139372822299,9.182865003223173e-08,0.0009150255658233,2022-03-17,coin_gecko_2022-03-17.csv,0.0005135150712799841,0.0004171086438033397,0.001180169110843502,-0.9973754092836913,-0.9998342212853915,0.00010035637632660933,3.8391122551563157
Compound,COMP,0.0027942170842105,0.8823529411764707,0.5699100572363041,0.1167247386759581,0.0009537971605121,0.0009029583386668,2022-03-17,coin_gecko_2022-03-17.csv,0.000905687714307672,0.0004708806023375497,0.0014298038619397118,10385.705676031592,5289.695873241245,1.056302511055341,3.666804616613619
Anchor Protocol,ANC,6.914577308288741e-05,0.8748435544430538,0.4603434178250203,0.0431668602400309,0.0013439102020839,0.0008874978957517,2022-03-17,coin_gecko_2022-03-17.csv,0.0009081832008563239,0.00047054093889064983,0.0014280791093906492,0.4090104874734013,-0.9752539724012086,1.5142686067392015,3.4794538073026806
Decred,DCR,0.001281986895263,0.8660826032540676,0.4709730171708912,0.0965931087882307,0.0001851361996196,0.0008598078982227,2022-03-17,coin_gecko_2022-03-17.csv,0.001090533750932614,0.0004985631732598865,0.0013740845129195077,-0.8622406472303557,17.540350886325882,0.21532274825841113,3.3888501544331517
IoTeX,IOTX,1.8719838929410604e-06,0.8623279098873592,0.5339329517579721,0.119241192411924,0.000928888508225,0.0008593621227055,2022-03-17,coin_gecko_2022-03-17.csv,0.0010640440158809768,0.0004974771867846663,0.001396011641374198,4.017325137566777,-0.9985397792287439,1.080904642737351,0.5789129078699686
Holo,HOT,9.928963097265168e-08,0.8836045056320401,0.5175797219950939,0.102981029810298,0.0007909831614666,0.0008517543104908,2022-03-17,coin_gecko_2022-03-17.csv,0.0010476642398759015,0.0004964615060995327,0.001409612644772291,-0.14846275471953185,-0.9469602108506081,0.9286517857606352,0.690472493602582
Bitkub Coin,KUB,0.0001923950809579,0.8785982478097623,0.5314799672935404,0.0993031358885017,4.9671347820610834e-05,0.0008219594721711,2022-03-17,coin_gecko_2022-03-17.csv,0.0006200348921361015,0.0005028411493812393,0.001064725116253328,-0.937203027522719,1936.7157420485655,0.060430409895283976,0.6937115801175072
